,dataset,variant,accuracy_mean,accuracy_std
116,RefrigerationDevices,with_dilation (default),0.5341333333333333,0.008520824164624264
117,RefrigerationDevices,no_dilation,0.5778666666666666,0.008266666666666646
118,ScreenType,with_dilation (default),0.4816,0.010410251357836336
119,ScreenType,no_dilation,0.5429333333333334,0.0059866518188383165
120,ShapeletSim,with_dilation (default),1.0,0.0
121,ShapeletSim,no_dilation,1.0,0.0
122,ShapesAll,with_dilation (default),0.9078333333333333,0.002891558595482919
123,ShapesAll,no_dilation,0.7471666666666665,0.004412734098291236
124,SmallKitchenAppliances,with_dilation (default),0.8192,0.00409661106552992
125,SmallKitchenAppliances,no_dilation,0.7957333333333334,0.0024440403706431166
126,SonyAIBORobotSurface1,with_dilation (default),0.9204658901830282,0.003993344425956735
127,SonyAIBORobotSurface1,no_dilation,0.9158069883527453,0.0015249835923313929
128,SonyAIBORobotSurface2,with_dilation (default),0.9199370409233998,0.0023013339138994145
129,SonyAIBORobotSurface2,no_dilation,0.9519412381951733,0.0022407299584535764
130,StarLightCurves,with_dilation (default),0.9808402136959689,0.00040561663643736773
131,StarLightCurves,no_dilation,0.9697425934919863,0.0016414370681030889
132,Strawberry,with_dilation (default),0.981081081081081,0.001208685393243142
133,Strawberry,no_dilation,0.9675675675675676,0.002702702702702675
134,SwedishLeaf,with_dilation (default),0.9646399999999999,0.0029890466707631247
135,SwedishLeaf,no_dilation,0.952,0.003199999999999997
136,Symbols,with_dilation (default),0.9740703517587939,0.0007520919370400081
137,Symbols,no_dilation,0.9664321608040201,0.0008040201005025338
138,SyntheticControl,with_dilation (default),0.9993333333333332,0.0013333333333333196
139,SyntheticControl,no_dilation,0.974,0.0020000000000000018
140,ToeSegmentation1,with_dilation (default),0.9557017543859649,0.0036432560802272377
141,ToeSegmentation1,no_dilation,0.9166666666666666,0.0027739277720775345
142,ToeSegmentation2,with_dilation (default),0.9230769230769231,0.0034401045807689198
143,ToeSegmentation2,no_dilation,0.7607692307692308,0.0023076923076922997
144,Trace,with_dilation (default),1.0,0.0
145,Trace,no_dilation,1.0,0.0
146,TwoLeadECG,with_dilation (default),0.9991220368744512,0.0
147,TwoLeadECG,no_dilation,0.9991220368744512,0.0
148,TwoPatterns,with_dilation (default),1.0,0.0
149,TwoPatterns,no_dilation,0.86715,0.003014962686336274
150,UWaveGestureLibraryAll,with_dilation (default),0.9754885538805137,0.0012091796665386922
151,UWaveGestureLibraryAll,no_dilation,0.7535175879396985,0.0014204974018099906
152,UWaveGestureLibraryX,with_dilation (default),0.854969290898939,0.0019671344533727336
153,UWaveGestureLibraryX,no_dilation,0.7005862646566164,0.001633821874751492
154,UWaveGestureLibraryY,with_dilation (default),0.7769681742043552,0.0023171412618648596
155,UWaveGestureLibraryY,no_dilation,0.6313512004466779,0.001274757125274248
156,UWaveGestureLibraryZ,with_dilation (default),0.795281965382468,0.0026632931720237557
157,UWaveGestureLibraryZ,no_dilation,0.684254606365159,0.002654352724512502
158,Wafer,with_dilation (default),0.9984425697598962,0.00032608292086698623
159,Wafer,no_dilation,0.9983452303698896,0.0003685209828553241
160,Wine,with_dilation (default),0.8055555555555556,0.025187908349510076
161,Wine,no_dilation,0.7277777777777777,0.034196639467813685
162,WordSynonyms,with_dilation (default),0.7518808777429467,0.0028082245873305464
163,WordSynonyms,no_dilation,0.42304075235109717,0.0036725311955673953
164,Worms,with_dilation (default),0.7311688311688312,0.010143181397281372
165,Worms,no_dilation,0.7506493506493507,0.009718590614997254
166,WormsTwoClass,with_dilation (default),0.7987012987012987,0.010470464608179937
167,WormsTwoClass,no_dilation,0.7597402597402597,0.006493506493506496
168,Yoga,with_dilation (default),0.9107999999999998,0.0034679484809706433
169,Yoga,no_dilation,0.7688666666666666,0.002423037579384826
