,dataset,num_kernels,accuracy_mean,accuracy_std
302,OSULeaf,1000,0.9280991735537188,0.011861735615212645
303,OSULeaf,2500,0.937190082644628,0.005785123966942129
304,OSULeaf,5000,0.9367768595041321,0.0045454545454545305
305,OSULeaf,10000,0.9384297520661157,0.005973897642479716
306,OliveOil,100,0.9,0.04216370213557838
307,OliveOil,500,0.9066666666666668,0.019999999999999997
308,OliveOil,1000,0.9233333333333335,0.021343747458109488
309,OliveOil,2500,0.9066666666666668,0.01333333333333333
310,OliveOil,5000,0.9166666666666667,0.016666666666666663
311,OliveOil,10000,0.9133333333333334,0.01632993161855452
312,PhalangesOutlinesCorrect,100,0.7713286713286713,0.015747641728722186
313,PhalangesOutlinesCorrect,500,0.8062937062937063,0.009551422493495514
314,PhalangesOutlinesCorrect,1000,0.8125874125874125,0.006751864036345103
315,PhalangesOutlinesCorrect,2500,0.8236596736596736,0.008453700608759253
316,PhalangesOutlinesCorrect,5000,0.8296037296037296,0.005938339954711886
317,PhalangesOutlinesCorrect,10000,0.8346153846153846,0.00745283089918329
318,Phoneme,100,0.2404008438818565,0.004517428925182246
319,Phoneme,500,0.28433544303797464,0.0034298925079934805
320,Phoneme,1000,0.2877109704641351,0.004629648174816128
321,Phoneme,2500,0.2853902953586498,0.004772842492570117
322,Phoneme,5000,0.282753164556962,0.0048766246047315725
323,Phoneme,10000,0.28132911392405063,0.002772877516475731
324,Plane,100,1.0,0.0
325,Plane,500,1.0,0.0
326,Plane,1000,1.0,0.0
327,Plane,2500,1.0,0.0
328,Plane,5000,1.0,0.0
329,Plane,10000,1.0,0.0
330,ProximalPhalanxOutlineAgeGroup,100,0.8502439024390244,0.007251740852350497
331,ProximalPhalanxOutlineAgeGroup,500,0.8560975609756097,0.003932808657706613
332,ProximalPhalanxOutlineAgeGroup,1000,0.8565853658536586,0.004974653183992965
333,ProximalPhalanxOutlineAgeGroup,2500,0.862439024390244,0.005253819324033667
334,ProximalPhalanxOutlineAgeGroup,5000,0.8590243902439024,0.005954417373528641
335,ProximalPhalanxOutlineAgeGroup,10000,0.8580487804878049,0.004601942015637372
336,ProximalPhalanxOutlineCorrect,100,0.863917525773196,0.010996563573883168
337,ProximalPhalanxOutlineCorrect,500,0.8838487972508592,0.008389385302909757
338,ProximalPhalanxOutlineCorrect,1000,0.8862542955326461,0.00848038672113614
339,ProximalPhalanxOutlineCorrect,2500,0.8931271477663231,0.005422588947786789
340,ProximalPhalanxOutlineCorrect,5000,0.9,0.0066011590076627295
341,ProximalPhalanxOutlineCorrect,10000,0.9027491408934708,0.0037800687285223233
342,ProximalPhalanxTW,100,0.8063414634146342,0.011958683582567057
343,ProximalPhalanxTW,500,0.806829268292683,0.009306723916262853
344,ProximalPhalanxTW,1000,0.811219512195122,0.005365853658536542
345,ProximalPhalanxTW,2500,0.8087804878048781,0.014601589802044615
