,dataset,threshold,accuracy_mean,accuracy_std,mean_features_kept,mean_fraction_kept,mean_train_time
151,FaceFour,threshold=0.01,0.8181818181818182,,10250.0,0.5125,0.00552790000801906
152,FacesUCR,no_selection (baseline),0.9624390243902439,,20000.0,1.0,0.05882839998230338
153,FacesUCR,threshold=0.0,0.9624390243902439,,20000.0,1.0,0.06761410000035539
154,FacesUCR,threshold=0.001,0.9629268292682926,,19338.0,0.9669,0.059728700027335435
155,FacesUCR,threshold=0.01,0.9502439024390243,,10252.0,0.5126,0.03318900003796443
156,FiftyWords,no_selection (baseline),0.8263736263736263,,20000.0,1.0,0.21028100000694394
157,FiftyWords,threshold=0.0,0.8263736263736263,,20000.0,1.0,0.17862839996814728
158,FiftyWords,threshold=0.001,0.8307692307692308,,19696.0,0.9848,0.1841782999690622
159,FiftyWords,threshold=0.01,0.789010989010989,,11487.0,0.57435,0.11774780001724139
160,Fish,no_selection (baseline),0.9828571428571429,,20000.0,1.0,0.05311139998957515
161,Fish,threshold=0.0,0.9828571428571429,,18832.0,0.9416,0.04826349997892976
162,Fish,threshold=0.001,0.9885714285714285,,11773.0,0.58865,0.04637019999790937
163,Fish,threshold=0.01,0.9657142857142857,,7922.0,0.3961,0.02226719999453053
164,FordA,no_selection (baseline),0.9363636363636364,,20000.0,1.0,2.7217792999581434
165,FordA,threshold=0.0,0.9363636363636364,,19999.0,0.99995,2.9362438999814913
166,FordA,threshold=0.001,0.9424242424242424,,12745.0,0.63725,2.3781941999914125
167,FordA,threshold=0.01,0.9204545454545454,,10099.0,0.50495,2.255921500036493
168,FordB,no_selection (baseline),0.8037037037037037,,20000.0,1.0,2.6657415000372566
169,FordB,threshold=0.0,0.8037037037037037,,19998.0,0.9999,2.85305639996659
170,FordB,threshold=0.001,0.8148148148148148,,12112.0,0.6056,2.453302200010512
171,FordB,threshold=0.01,0.7901234567901234,,10061.0,0.50305,2.286717100010719
172,FreezerRegularTrain,no_selection (baseline),0.9978947368421053,,20000.0,1.0,0.037217300035990775
173,FreezerRegularTrain,threshold=0.0,0.9978947368421053,,19967.0,0.99835,0.042014600010588765
174,FreezerRegularTrain,threshold=0.001,0.9964912280701754,,14716.0,0.7358,0.03316569997696206
175,FreezerRegularTrain,threshold=0.01,0.9968421052631579,,11105.0,0.55525,0.02515900001162663
176,FreezerSmallTrain,no_selection (baseline),0.9575438596491228,,20000.0,1.0,0.007718999986536801
177,FreezerSmallTrain,threshold=0.0,0.9575438596491228,,19411.0,0.97055,0.008563300012610853
178,FreezerSmallTrain,threshold=0.001,0.9368421052631579,,14449.0,0.72245,0.0067971000098623335
179,FreezerSmallTrain,threshold=0.01,0.887719298245614,,11036.0,0.5518,0.005680200003553182
180,Fungi,no_selection (baseline),1.0,,20000.0,1.0,0.0069071000325493515
181,Fungi,threshold=0.0,1.0,,19997.0,0.99985,0.024698000052012503
182,Fungi,threshold=0.001,1.0,,19558.0,0.9779,0.009550000017043203
183,Fungi,threshold=0.01,1.0,,11670.0,0.5835,0.006211699976120144
184,GestureMidAirD1,no_selection (baseline),0.7769230769230769,,20000.0,1.0,0.06682410003850237
185,GestureMidAirD1,threshold=0.0,0.7769230769230769,,20000.0,1.0,0.06634129997109994
186,GestureMidAirD1,threshold=0.001,0.7769230769230769,,19998.0,0.9999,0.08501099998829886
187,GestureMidAirD1,threshold=0.01,0.7769230769230769,,18831.0,0.94155,0.06250359996920452
188,GestureMidAirD2,no_selection (baseline),0.6615384615384615,,20000.0,1.0,0.06701699999393895
189,GestureMidAirD2,threshold=0.0,0.6615384615384615,,19999.0,0.99995,0.06571049999911338
190,GestureMidAirD2,threshold=0.001,0.6615384615384615,,19990.0,0.9995,0.06587120000040159
191,GestureMidAirD2,threshold=0.01,0.6384615384615384,,17423.0,0.87115,0.057070499984547496
192,GestureMidAirD3,no_selection (baseline),0.4846153846153846,,20000.0,1.0,0.06613409996498376
193,GestureMidAirD3,threshold=0.0,0.4846153846153846,,19907.0,0.99535,0.06524270004592836
194,GestureMidAirD3,threshold=0.001,0.4846153846153846,,19858.0,0.9929,0.06761379999807104
195,GestureMidAirD3,threshold=0.01,0.4846153846153846,,17394.0,0.8697,0.057527099968865514
196,GesturePebbleZ1,no_selection (baseline),0.8953488372093024,,20000.0,1.0,0.0364877000101842
197,GesturePebbleZ1,threshold=0.0,0.8953488372093024,,19998.0,0.9999,0.054873700020834804
198,GesturePebbleZ1,threshold=0.001,0.8953488372093024,,19973.0,0.99865,0.03516149998176843
199,GesturePebbleZ1,threshold=0.01,0.8953488372093024,,16033.0,0.80165,0.02989900001557544
200,GesturePebbleZ2,no_selection (baseline),0.7911392405063291,,20000.0,1.0,0.041094299987889826
201,GesturePebbleZ2,threshold=0.0,0.7911392405063291,,20000.0,1.0,0.05264000000897795
202,GesturePebbleZ2,threshold=0.001,0.7974683544303798,,19971.0,0.99855,0.04007879999699071
203,GesturePebbleZ2,threshold=0.01,0.810126582278481,,16420.0,0.821,0.03338199999416247
204,GunPoint,no_selection (baseline),1.0,,20000.0,1.0,0.013290699978824705
205,GunPoint,threshold=0.0,1.0,,19958.0,0.9979,0.015162500028964132
206,GunPoint,threshold=0.001,1.0,,15953.0,0.79765,0.012327599979471415
207,GunPoint,threshold=0.01,1.0,,11328.0,0.5664,0.008340700005646795
208,GunPointAgeSpan,no_selection (baseline),0.9936708860759493,,20000.0,1.0,0.03697199997259304
209,GunPointAgeSpan,threshold=0.0,0.9936708860759493,,20000.0,1.0,0.03729220002423972
210,GunPointAgeSpan,threshold=0.001,0.990506329113924,,19987.0,0.99935,0.0366177000105381
211,GunPointAgeSpan,threshold=0.01,0.9936708860759493,,12029.0,0.60145,0.024607499944977462
212,GunPointMaleVersusFemale,no_selection (baseline),0.9936708860759493,,20000.0,1.0,0.03935750003438443
213,GunPointMaleVersusFemale,threshold=0.0,0.9936708860759493,,19997.0,0.99985,0.0446094999788329
