,dataset,variant,accuracy_mean,accuracy_std
111,ProximalPhalanxOutlineAgeGroup,no_bias,0.8551219512195122,0.0057923619936770376
112,ProximalPhalanxOutlineCorrect,with_bias (default),0.9017182130584193,0.005991613668097124
113,ProximalPhalanxOutlineCorrect,no_bias,0.8838487972508592,0.006299073120214214
114,ProximalPhalanxTW,with_bias (default),0.8,0.007235315597166485
115,ProximalPhalanxTW,no_bias,0.7882926829268293,0.005853658536585371
116,RefrigerationDevices,with_bias (default),0.5338666666666666,0.007428473747831541
117,RefrigerationDevices,no_bias,0.5442666666666668,0.008127867015535048
118,ScreenType,with_bias (default),0.47573333333333334,0.013815289436787856
119,ScreenType,no_bias,0.45466666666666666,0.018978350238568625
120,ShapeletSim,with_bias (default),1.0,0.0
121,ShapeletSim,no_bias,0.7533333333333333,0.01651785416368724
122,ShapesAll,with_bias (default),0.9071666666666666,0.0019790570145063195
123,ShapesAll,no_bias,0.9048333333333334,0.0015723301886760993
124,SmallKitchenAppliances,with_bias (default),0.8181333333333333,0.0051708585145774305
125,SmallKitchenAppliances,no_bias,0.7983999999999999,0.013290598180668927
126,SonyAIBORobotSurface1,with_bias (default),0.9234608985024957,0.0027842263778172205
127,SonyAIBORobotSurface1,no_bias,0.9156405990016637,0.003494176372712143
128,SonyAIBORobotSurface2,with_bias (default),0.9211962224554041,0.0025466235256057937
129,SonyAIBORobotSurface2,no_bias,0.9199370409233998,0.002101257544019002
130,StarLightCurves,with_bias (default),0.9810223409422049,0.00038796856019113944
131,StarLightCurves,no_bias,0.9775012141816415,0.0009683812230009981
132,Strawberry,with_bias (default),0.9813513513513513,0.0008108108108108358
133,Strawberry,no_bias,0.9789189189189189,0.0029108998957483876
134,SwedishLeaf,with_bias (default),0.9654400000000001,0.002048999755978522
135,SwedishLeaf,no_bias,0.9604800000000001,0.0018998947339260595
136,Symbols,with_bias (default),0.9746733668341708,0.0009847194945862283
137,Symbols,no_bias,0.9750753768844221,0.0004020100502512669
138,SyntheticControl,with_bias (default),0.9986666666666666,0.002211083193570271
139,SyntheticControl,no_bias,0.9940000000000001,0.002000000000000024
140,ToeSegmentation1,with_bias (default),0.956140350877193,0.00480458383776463
141,ToeSegmentation1,no_bias,0.955701754385965,0.0036432560802272373
142,ToeSegmentation2,with_bias (default),0.9276923076923078,0.006153846153846132
143,ToeSegmentation2,no_bias,0.913846153846154,0.005756395979652233
144,Trace,with_bias (default),1.0,0.0
145,Trace,no_bias,1.0,0.0
