,dataset,feature_type,accuracy_mean,accuracy_std
94,Ham,ppv_only,0.720952380952381,0.019999999999999983
95,Ham,max_only,0.7,0.011468185313135523
96,HandOutlines,both (default),0.9440540540540541,0.002432432432432436
97,HandOutlines,ppv_only,0.9354054054054055,0.0018918918918918726
98,HandOutlines,max_only,0.9505405405405407,0.002110878290785605
99,Haptics,both (default),0.5353896103896104,0.005123290207162173
100,Haptics,ppv_only,0.5207792207792208,0.008974204520185228
101,Haptics,max_only,0.5103896103896104,0.008441558441558444
102,Herring,both (default),0.6359375,0.019825902406952374
103,Herring,ppv_only,0.6390625,0.025626905416963632
104,Herring,max_only,0.6390625,0.01907274314958391
105,InlineSkate,both (default),0.47545454545454546,0.006517617574158138
106,InlineSkate,ppv_only,0.45872727272727276,0.004150077167459388
107,InlineSkate,max_only,0.4616363636363636,0.00393752869594686
108,InsectWingbeatSound,both (default),0.6648484848484848,0.0042086195264645744
109,InsectWingbeatSound,ppv_only,0.6644949494949495,0.002653798920286782
110,InsectWingbeatSound,max_only,0.6420202020202022,0.0026028482276212396
111,ItalyPowerDemand,both (default),0.9693877551020409,0.0009958164009678974
112,ItalyPowerDemand,ppv_only,0.9644314868804665,0.0017492711370262265
113,ItalyPowerDemand,max_only,0.9704567541302236,0.0011661807580174858
114,LargeKitchenAppliances,both (default),0.9005333333333333,0.00492431608336518
115,LargeKitchenAppliances,ppv_only,0.8850666666666667,0.007100547709703662
116,LargeKitchenAppliances,max_only,0.8189333333333334,0.005775042087388722
117,Lightning2,both (default),0.7852459016393443,0.01361741616871817
118,Lightning2,ppv_only,0.7655737704918033,0.012803687993289611
119,Lightning2,max_only,0.6950819672131148,0.01825496512403288
120,Lightning7,both (default),0.8164383561643834,0.01255500190398858
121,Lightning7,ppv_only,0.8054794520547945,0.011942188886412798
122,Lightning7,max_only,0.726027397260274,0.015006097465894961
123,Mallat,both (default),0.9556503198294243,0.0017478807276690165
124,Mallat,ppv_only,0.9538166311300639,0.0026973756248816223
125,Mallat,max_only,0.9346268656716419,0.0030156822530042044
126,Meat,both (default),0.9483333333333333,0.004999999999999983
127,Meat,ppv_only,0.9666666666666666,1.1102230246251565e-16
128,Meat,max_only,0.9333333333333333,0.018257418583505533
129,MedicalImages,both (default),0.7968421052631578,0.002137904843325254
130,MedicalImages,ppv_only,0.7880263157894738,0.003352036632330777
131,MedicalImages,max_only,0.7327631578947369,0.003352036632330774
132,MiddlePhalanxOutlineAgeGroup,both (default),0.5564935064935064,0.014534434601038565
133,MiddlePhalanxOutlineAgeGroup,ppv_only,0.5590909090909092,0.01979188396640023
134,MiddlePhalanxOutlineAgeGroup,max_only,0.55,0.008239336065226963
135,MiddlePhalanxOutlineCorrect,both (default),0.836082474226804,0.0070509568827089985
