dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds
NonInvasiveFetalECGThorax1,0.9567938931297709,0.0013550663568136759,4.818221310000808,4.362584060005611
NonInvasiveFetalECGThorax2,0.9676844783715014,0.002013235668687266,4.81934145000123,4.368729840000743
OSULeaf,0.9400826446280991,0.004619975160123517,0.3346181399989291,0.33832778000360125
OliveOil,0.9200000000000002,0.016329931618554516,0.0841414899987285,0.07792796000139787
PLAID,0.7497206703910615,0.03388175915245933,2.3432012599980223,2.1890456199995243
PhalangesOutlinesCorrect,0.8381118881118882,0.003984923309388991,1.357008739998855,0.2679459799983306
Phoneme,0.28175105485232066,0.0024261603375527385,0.7233354200026952,5.762268149998272
PickupGestureWiimoteZ,0.79,0.010000000000000009,0.08415700999903493,0.07467076999746496
PigAirwayPressure,0.8057692307692308,0.008102067089592642,0.720713239996985,1.2810614400004852
PigArtPressure,0.9572115384615385,0.004535567851950311,0.7162996099985321,1.281508370002848
PigCVP,0.9326923076923078,1.1102230246251565e-16,0.7160126699978718,1.2801291300027515
Plane,1.0,0.0,0.08126965000265045,0.057229179998103064
PowerCons,0.9833333333333332,1.1102230246251565e-16,0.13461961000139128,0.09257914000336313
ProximalPhalanxOutlineAgeGroup,0.8570731707317073,0.008463098328242678,0.2455328800031566,0.06517919999751029
ProximalPhalanxOutlineCorrect,0.90446735395189,0.0045589344197324915,0.36993768999964227,0.08897789000329794
ProximalPhalanxTW,0.802439024390244,0.006634863662797784,0.24225378000264755,0.06511866999790072
RefrigerationDevices,0.5373333333333333,0.009101892355133877,0.961165190000611,0.8306018000017502
Rock,0.6759999999999999,0.01743559577416268,0.20434484999859706,0.540163609998126
ScreenType,0.4824,0.016240415977157457,0.9636849700022139,0.8366215400048531
SemgHandGenderCh2,0.8948333333333334,0.007127801593447693,1.470537970001169,2.681352670001797
SemgHandMovementCh2,0.5988888888888889,0.014882253911336213,2.172751909997896,2.035698800002865
SemgHandSubjectCh2,0.8448888888888888,0.008821970329457427,2.1753247899978305,2.0359244600011155
ShakeGestureWiimoteZ,0.924,0.011999999999999966,0.08881348999857437,0.07890905999811365
ShapeletSim,1.0,0.0,0.04233359000063502,0.29051300000137414
ShapesAll,0.9056666666666666,0.002380476142847622,1.132235019998916,0.9398124900006223
SmallKitchenAppliances,0.8234666666666666,0.0037333333333333454,0.9647469799994723,0.8336352200014516
SmoothSubspace,0.974,0.0019999999999999792,0.05332988999725785,0.01975576999684563
SonyAIBORobotSurface1,0.9232945091514143,0.002405462944226447,0.011915239998779725,0.17066843000066
SonyAIBORobotSurface2,0.9175236096537251,0.0037306167543822146,0.01774604999955045,0.2536539199980325
StarLightCurves,0.980463817387081,0.0004291062906039965,3.3959169300054786,24.63059530000173
Strawberry,0.9816216216216216,0.0016216216216216385,0.7001191899966215,0.2978775600015069
SwedishLeaf,0.96512,0.002240000000000004,0.429102000000421,0.31279748999804724
Symbols,0.9739698492462312,0.0007035175879397171,0.05780042999540456,1.3126182399995743
SyntheticControl,0.9996666666666666,0.0009999999999999898,0.1761363400000846,0.08137294000043765
ToeSegmentation1,0.9565789473684211,0.0030701754385965008,0.049710040001082235,0.20794034999853464
ToeSegmentation2,0.9230769230769231,0.005958435917242202,0.057341740002448204,0.15091153000394114
Trace,1.0,0.0,0.12277343000023394,0.10102411999978358
TwoLeadECG,0.9991220368744512,0.0,0.013428620001650415,0.35145641999697547
TwoPatterns,1.0,0.0,0.7653691900035483,1.6969680199952564
UMD,0.986111111111111,1.1102230246251565e-16,0.030460710004263092,0.0741513400018448
UWaveGestureLibraryAll,0.9757398101619209,0.0007841748690780855,2.866436580001027,9.995619120004994
UWaveGestureLibraryX,0.8546063651591289,0.0016553843752510945,1.2039543700026116,3.496327629999723
UWaveGestureLibraryY,0.778391959798995,0.001079792272798073,1.203458839999803,3.4952108200013754
UWaveGestureLibraryZ,0.7942211055276382,0.0015616266075875942,1.2080650999996578,3.4936202600030812
Wafer,0.9983127839065542,0.00035691109669045074,0.8392215199957718,3.0983612800017
Wine,0.8166666666666667,0.026771911657038818,0.0635622899979353,0.051527660002466294
WordSynonyms,0.7503134796238244,0.0037780472705937125,0.3132460900058504,0.5475870200025383
Worms,0.7285714285714286,0.013558839621961758,0.5574022299959325,0.251070840000466
WormsTwoClass,0.7922077922077922,0.01005969700313615,0.5556721000000834,0.2516681399967638
Yoga,0.9088,0.0026882460204874737,0.48374830999528057,3.9144712800014534
