,dataset,variant,accuracy_mean,accuracy_std
95,Ham,always_padding,0.7314285714285715,0.011895234282663614
96,HandOutlines,random_padding (default),0.9440540540540541,0.00297297297297297
97,HandOutlines,no_padding,0.9518918918918919,0.0020225175063643074
98,HandOutlines,always_padding,0.9362162162162162,0.002162162162162162
99,Haptics,random_padding (default),0.5340909090909091,0.008620726004773859
100,Haptics,no_padding,0.525974025974026,0.009954356958932408
101,Haptics,always_padding,0.5357142857142857,0.006329087236888936
102,Herring,random_padding (default),0.6125,0.021875
103,Herring,no_padding,0.6328125,0.014405538214520137
104,Herring,always_padding,0.5921875,0.014740595518838443
105,InlineSkate,random_padding (default),0.47581818181818186,0.004744723036618153
106,InlineSkate,no_padding,0.4549090909090909,0.004727272727272725
107,InlineSkate,always_padding,0.4621818181818182,0.005680181582477561
108,InsectWingbeatSound,random_padding (default),0.6672222222222222,0.003237448587987349
109,InsectWingbeatSound,no_padding,0.6665151515151515,0.001835634529836986
110,InsectWingbeatSound,always_padding,0.66,0.0022107140028524634
111,ItalyPowerDemand,random_padding (default),0.9689990281827019,0.000807252076085316
112,ItalyPowerDemand,no_padding,0.9705539358600583,0.0008746355685131491
113,ItalyPowerDemand,always_padding,0.968901846452867,0.0007527664424115309
114,LargeKitchenAppliances,random_padding (default),0.8989333333333333,0.0030287511177601485
115,LargeKitchenAppliances,no_padding,0.9039999999999999,0.0023851391759997734
116,LargeKitchenAppliances,always_padding,0.9066666666666666,0.004917090377222861
117,Lightning2,random_padding (default),0.7885245901639344,0.01361741616871817
118,Lightning2,no_padding,0.7868852459016393,0.0
119,Lightning2,always_padding,0.781967213114754,0.010496924979398123
120,Lightning7,random_padding (default),0.826027397260274,0.012328767123287667
121,Lightning7,no_padding,0.7945205479452053,0.008663774411420216
122,Lightning7,always_padding,0.8191780821917808,0.011942188886412807
123,Mallat,random_padding (default),0.9563752665245202,0.0013626051435966392
124,Mallat,no_padding,0.9544989339019189,0.0016075118827267266
125,Mallat,always_padding,0.9549253731343285,0.0015022528745252373
126,Meat,random_padding (default),0.9483333333333333,0.004999999999999983
127,Meat,no_padding,0.9483333333333333,0.004999999999999982
128,Meat,always_padding,0.9499999999999998,1.1102230246251565e-16
129,MedicalImages,random_padding (default),0.7967105263157894,0.004529451178436464
130,MedicalImages,no_padding,0.7922368421052631,0.002968556361231196
131,MedicalImages,always_padding,0.7980263157894736,0.0031824701638020723
132,MiddlePhalanxOutlineAgeGroup,random_padding (default),0.5512987012987012,0.020003794546427752
133,MiddlePhalanxOutlineAgeGroup,no_padding,0.5571428571428572,0.01943718122999451
134,MiddlePhalanxOutlineAgeGroup,always_padding,0.5701298701298703,0.014167158590435998
135,MiddlePhalanxOutlineCorrect,random_padding (default),0.8285223367697594,0.008197154942870499
