,dataset,run,accuracy
567,HandOutlines,7,0.9432432432432433
568,HandOutlines,8,0.9432432432432433
569,HandOutlines,9,0.9405405405405406
570,Haptics,0,0.5324675324675324
571,Haptics,1,0.538961038961039
572,Haptics,2,0.5357142857142857
573,Haptics,3,0.538961038961039
574,Haptics,4,0.5194805194805194
575,Haptics,5,0.538961038961039
576,Haptics,6,0.5227272727272727
577,Haptics,7,0.5357142857142857
578,Haptics,8,0.5324675324675324
579,Haptics,9,0.5422077922077922
580,Herring,0,0.59375
581,Herring,1,0.625
582,Herring,2,0.625
583,Herring,3,0.625
584,Herring,4,0.640625
585,Herring,5,0.59375
586,Herring,6,0.640625
587,Herring,7,0.59375
588,Herring,8,0.609375
589,Herring,9,0.625
590,HouseTwenty,0,0.9663865546218487
591,HouseTwenty,1,0.9663865546218487
592,HouseTwenty,2,0.9663865546218487
593,HouseTwenty,3,0.9663865546218487
594,HouseTwenty,4,0.9663865546218487
595,HouseTwenty,5,0.957983193277311
596,HouseTwenty,6,0.9663865546218487
597,HouseTwenty,7,0.9663865546218487
598,HouseTwenty,8,0.9663865546218487
599,HouseTwenty,9,0.9663865546218487
600,InlineSkate,0,0.4727272727272727
601,InlineSkate,1,0.4781818181818182
602,InlineSkate,2,0.4672727272727273
603,InlineSkate,3,0.4709090909090909
604,InlineSkate,4,0.4727272727272727
605,InlineSkate,5,0.4763636363636364
606,InlineSkate,6,0.4672727272727273
607,InlineSkate,7,0.47454545454545455
608,InlineSkate,8,0.4690909090909091
609,InlineSkate,9,0.4781818181818182
610,InsectEPGRegularTrain,0,1.0
611,InsectEPGRegularTrain,1,1.0
612,InsectEPGRegularTrain,2,1.0
613,InsectEPGRegularTrain,3,1.0
614,InsectEPGRegularTrain,4,1.0
615,InsectEPGRegularTrain,5,1.0
616,InsectEPGRegularTrain,6,1.0
617,InsectEPGRegularTrain,7,1.0
618,InsectEPGRegularTrain,8,1.0
619,InsectEPGRegularTrain,9,1.0
620,InsectEPGSmallTrain,0,1.0
621,InsectEPGSmallTrain,1,1.0
622,InsectEPGSmallTrain,2,1.0
623,InsectEPGSmallTrain,3,1.0
624,InsectEPGSmallTrain,4,1.0
625,InsectEPGSmallTrain,5,1.0
626,InsectEPGSmallTrain,6,1.0
627,InsectEPGSmallTrain,7,1.0
628,InsectEPGSmallTrain,8,1.0
629,InsectEPGSmallTrain,9,1.0
630,InsectWingbeatSound,0,0.6636363636363637
631,InsectWingbeatSound,1,0.6661616161616162
632,InsectWingbeatSound,2,0.6656565656565656
633,InsectWingbeatSound,3,0.6646464646464646
634,InsectWingbeatSound,4,0.6601010101010101
635,InsectWingbeatSound,5,0.6671717171717172
636,InsectWingbeatSound,6,0.6676767676767676
637,InsectWingbeatSound,7,0.6595959595959596
638,InsectWingbeatSound,8,0.6666666666666666
639,InsectWingbeatSound,9,0.6707070707070707
640,ItalyPowerDemand,0,0.9698736637512148
641,ItalyPowerDemand,1,0.9698736637512148
642,ItalyPowerDemand,2,0.967930029154519
643,ItalyPowerDemand,3,0.9689018464528668
644,ItalyPowerDemand,4,0.967930029154519
645,ItalyPowerDemand,5,0.9698736637512148
646,ItalyPowerDemand,6,0.966958211856171
647,ItalyPowerDemand,7,0.9708454810495627
648,ItalyPowerDemand,8,0.9689018464528668
649,ItalyPowerDemand,9,0.967930029154519
650,LargeKitchenAppliances,0,0.9013333333333333
651,LargeKitchenAppliances,1,0.904
652,LargeKitchenAppliances,2,0.8826666666666667
653,LargeKitchenAppliances,3,0.9013333333333333
654,LargeKitchenAppliances,4,0.9013333333333333
655,LargeKitchenAppliances,5,0.9013333333333333
656,LargeKitchenAppliances,6,0.9013333333333333
657,LargeKitchenAppliances,7,0.904
658,LargeKitchenAppliances,8,0.896
659,LargeKitchenAppliances,9,0.896
660,Lightning2,0,0.7868852459016393
661,Lightning2,1,0.7868852459016393
662,Lightning2,2,0.7868852459016393
663,Lightning2,3,0.7868852459016393
664,Lightning2,4,0.7704918032786885
665,Lightning2,5,0.7704918032786885
666,Lightning2,6,0.8032786885245902
667,Lightning2,7,0.8032786885245902
668,Lightning2,8,0.8032786885245902
669,Lightning2,9,0.7868852459016393
670,Lightning7,0,0.8493150684931506
671,Lightning7,1,0.8082191780821918
672,Lightning7,2,0.8082191780821918
673,Lightning7,3,0.7945205479452054
674,Lightning7,4,0.8082191780821918
675,Lightning7,5,0.8356164383561644
676,Lightning7,6,0.8082191780821918
677,Lightning7,7,0.8493150684931506
678,Lightning7,8,0.8356164383561644
679,Lightning7,9,0.8356164383561644
680,Mallat,0,0.9547974413646055
681,Mallat,1,0.9552238805970149
682,Mallat,2,0.9547974413646055
683,Mallat,3,0.9547974413646055
684,Mallat,4,0.956503198294243
685,Mallat,5,0.9573560767590619
686,Mallat,6,0.9569296375266525
687,Mallat,7,0.9560767590618336
688,Mallat,8,0.9560767590618336
689,Mallat,9,0.9573560767590619
690,Meat,0,0.95
691,Meat,1,0.95
692,Meat,2,0.95
693,Meat,3,0.95
694,Meat,4,0.95
695,Meat,5,0.95
696,Meat,6,0.95
697,Meat,7,0.95
698,Meat,8,0.95
699,Meat,9,0.95
700,MedicalImages,0,0.7960526315789473
701,MedicalImages,1,0.7947368421052632
702,MedicalImages,2,0.7973684210526316
703,MedicalImages,3,0.7973684210526316
704,MedicalImages,4,0.7986842105263158
705,MedicalImages,5,0.7973684210526316
706,MedicalImages,6,0.7921052631578948
707,MedicalImages,7,0.7960526315789473
708,MedicalImages,8,0.7960526315789473
709,MedicalImages,9,0.7960526315789473
710,MelbournePedestrian,0,0.9438294382943829
711,MelbournePedestrian,1,0.9434194341943419
