,dataset,run,threshold,accuracy,num_features_kept,num_features_total,fraction_kept,classifier_train_time
116,ECG5000,0,no_selection (baseline),0.9468888888888889,20000,20000,1.0,0.16225880000274628
117,ECG5000,0,threshold=0.0,0.9468888888888889,19999,20000,0.99995,0.1948913999949582
118,ECG5000,0,threshold=0.001,0.948,18742,20000,0.9371,0.18553670000983402
119,ECG5000,0,threshold=0.01,0.9482222222222222,12397,20000,0.61985,0.14644760004011914
120,ECGFiveDays,0,no_selection (baseline),1.0,20000,20000,1.0,0.007238499994855374
121,ECGFiveDays,0,threshold=0.0,1.0,19996,20000,0.9998,0.007373699976596981
122,ECGFiveDays,0,threshold=0.001,1.0,14350,20000,0.7175,0.0057693999842740595
123,ECGFiveDays,0,threshold=0.01,1.0,10364,20000,0.5182,0.004664999956730753
124,EOGHorizontalSignal,0,no_selection (baseline),0.585635359116022,20000,20000,1.0,0.13620340003399178
125,EOGHorizontalSignal,0,threshold=0.0,0.585635359116022,20000,20000,1.0,0.14981619996251538
126,EOGHorizontalSignal,0,threshold=0.001,0.5828729281767956,19835,20000,0.99175,0.1555841999943368
127,EOGHorizontalSignal,0,threshold=0.01,0.5966850828729282,16908,20000,0.8454,0.13137760001700372
128,EOGVerticalSignal,0,no_selection (baseline),0.5414364640883977,20000,20000,1.0,0.138900299964007
129,EOGVerticalSignal,0,threshold=0.0,0.5414364640883977,20000,20000,1.0,0.1490442999638617
130,EOGVerticalSignal,0,threshold=0.001,0.5524861878453039,19915,20000,0.99575,0.15547019999939948
131,EOGVerticalSignal,0,threshold=0.01,0.5414364640883977,18423,20000,0.92115,0.14350050000939518
132,Earthquakes,0,no_selection (baseline),0.7553956834532374,20000,20000,1.0,0.12997590005397797
133,Earthquakes,0,threshold=0.0,0.7553956834532374,20000,20000,1.0,0.12697529996512458
134,Earthquakes,0,threshold=0.001,0.7553956834532374,19904,20000,0.9952,0.1243850999744609
135,Earthquakes,0,threshold=0.01,0.7482014388489209,10202,20000,0.5101,0.07134539994876832
136,ElectricDevices,0,no_selection (baseline),0.7271430424069512,20000,20000,1.0,24.40742250002222
137,ElectricDevices,0,threshold=0.0,0.7271430424069512,20000,20000,1.0,24.706236500001978
138,ElectricDevices,0,threshold=0.001,0.7271430424069512,20000,20000,1.0,24.813813699991442
139,ElectricDevices,0,threshold=0.01,0.7255868240176372,19679,20000,0.98395,24.624280499992892
140,EthanolLevel,0,no_selection (baseline),0.592,20000,20000,1.0,0.1623431000043638
141,EthanolLevel,0,threshold=0.0,0.592,18664,20000,0.9332,0.1820505000068806
142,EthanolLevel,0,threshold=0.001,0.558,8811,20000,0.44055,0.12207969999872148
143,EthanolLevel,0,threshold=0.01,0.562,6208,20000,0.3104,0.09874909999780357
144,FaceAll,0,no_selection (baseline),0.9437869822485208,20000,20000,1.0,0.23013690003426746
145,FaceAll,0,threshold=0.0,0.9437869822485208,20000,20000,1.0,0.22283489996334538
146,FaceAll,0,threshold=0.001,0.9443786982248521,19051,20000,0.95255,0.21879700000863522
147,FaceAll,0,threshold=0.01,0.9355029585798816,10252,20000,0.5126,0.15448780002770945
148,FaceFour,0,no_selection (baseline),0.9772727272727273,20000,20000,1.0,0.007107699988409877
149,FaceFour,0,threshold=0.0,0.9772727272727273,20000,20000,1.0,0.009146299969870597
150,FaceFour,0,threshold=0.001,0.9659090909090909,16001,20000,0.80005,0.0075595000525936484
151,FaceFour,0,threshold=0.01,0.8181818181818182,10250,20000,0.5125,0.00552790000801906
152,FacesUCR,0,no_selection (baseline),0.9624390243902439,20000,20000,1.0,0.05882839998230338
153,FacesUCR,0,threshold=0.0,0.9624390243902439,20000,20000,1.0,0.06761410000035539
154,FacesUCR,0,threshold=0.001,0.9629268292682926,19338,20000,0.9669,0.059728700027335435
